Filename,Date,SunspotActivity
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060322.jpg,20060322,0
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060323.jpg,20060323,0
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060324.jpg,20060324,0
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060325.jpg,20060325,0
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060326.jpg,20060326,0
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060327.jpg,20060327,0
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060328.jpg,20060328,0
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060329.jpg,20060329,11
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060330.jpg,20060330,38
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060331.jpg,20060331,72
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060401.jpg,20060401,81
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060402.jpg,20060402,91
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060403.jpg,20060403,150
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060404.jpg,20060404,142
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060405.jpg,20060405,98
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060406.jpg,20060406,64
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060407.jpg,20060407,7
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060408.jpg,20060408,3
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060409.jpg,20060409,6
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060410.jpg,20060410,8
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060411.jpg,20060411,6
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060412.jpg,20060412,2
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060413.jpg,20060413,6
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060414.jpg,20060414,8
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060415.jpg,20060415,0
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060416.jpg,20060416,0
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060417.jpg,20060417,0
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060418.jpg,20060418,0
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060419.jpg,20060419,0
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060420.jpg,20060420,0
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060421.jpg,20060421,0
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060422.jpg,20060422,0
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060423.jpg,20060423,0
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060424.jpg,20060424,21
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060425.jpg,20060425,23
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060426.jpg,20060426,25
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060427.jpg,20060427,35
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060428.jpg,20060428,36
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060429.jpg,20060429,40
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060430.jpg,20060430,34
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060501.jpg,20060501,19
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060502.jpg,20060502,17
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060503.jpg,20060503,18
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060504.jpg,20060504,4
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060505.jpg,20060505,4
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060506.jpg,20060506,6
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060507.jpg,20060507,3
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060508.jpg,20060508,8
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060509.jpg,20060509,10
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060510.jpg,20060510,0
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060511.jpg,20060511,0
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060512.jpg,20060512,0
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060513.jpg,20060513,0
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060514.jpg,20060514,0
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060515.jpg,20060515,0
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060516.jpg,20060516,0
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060517.jpg,20060517,0
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060518.jpg,20060518,0
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060519.jpg,20060519,0
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060520.jpg,20060520,0
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060521.jpg,20060521,0
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060522.jpg,20060522,3
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060523.jpg,20060523,1
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060524.jpg,20060524,5
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060525.jpg,20060525,2
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060526.jpg,20060526,4
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060527.jpg,20060527,2
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060528.jpg,20060528,0
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060529.jpg,20060529,2
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060530.jpg,20060530,0
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060531.jpg,20060531,0
https://sohowww.nascom.nasa.gov/data/synoptic/sunspots_earth/sunspots_1024_20060601.jpg,20060601,0
