URL,favorite,comment,like
https://www.gocomics.com/calvinandhobbes/1986/02/22,57,12,12
https://www.gocomics.com/calvinandhobbes/1986/02/23,92,18,12
https://www.gocomics.com/calvinandhobbes/1986/02/24,138,18,29
https://www.gocomics.com/calvinandhobbes/1986/02/25,36,8,9
https://www.gocomics.com/calvinandhobbes/1986/02/26,127,11,28
https://www.gocomics.com/calvinandhobbes/1986/02/27,75,10,14
https://www.gocomics.com/calvinandhobbes/1986/02/28,45,9,8
https://www.gocomics.com/calvinandhobbes/1986/03/01,99,9,22
https://www.gocomics.com/calvinandhobbes/1986/03/02,54,12,6
https://www.gocomics.com/calvinandhobbes/1986/03/03,43,11,8
https://www.gocomics.com/calvinandhobbes/1986/03/04,101,15,19
https://www.gocomics.com/calvinandhobbes/1986/03/05,23,9,4
https://www.gocomics.com/calvinandhobbes/1986/03/06,47,8,6
https://www.gocomics.com/calvinandhobbes/1986/03/07,40,6,12
https://www.gocomics.com/calvinandhobbes/1986/03/08,55,9,9
https://www.gocomics.com/calvinandhobbes/1986/03/09,64,12,13
https://www.gocomics.com/calvinandhobbes/1986/03/10,45,7,12
https://www.gocomics.com/calvinandhobbes/1986/03/11,42,9,8
https://www.gocomics.com/calvinandhobbes/1986/03/12,109,11,19
https://www.gocomics.com/calvinandhobbes/1986/03/13,33,5,9
https://www.gocomics.com/calvinandhobbes/1986/03/14,61,9,15
https://www.gocomics.com/calvinandhobbes/1986/03/15,36,7,6
https://www.gocomics.com/calvinandhobbes/1986/03/16,50,9,5
https://www.gocomics.com/calvinandhobbes/1986/03/17,112,9,19
https://www.gocomics.com/calvinandhobbes/1986/03/18,53,10,5
https://www.gocomics.com/calvinandhobbes/1986/03/19,23,6,2
https://www.gocomics.com/calvinandhobbes/1986/03/20,37,7,7
https://www.gocomics.com/calvinandhobbes/1986/03/21,64,12,16
https://www.gocomics.com/calvinandhobbes/1986/03/22,35,13,6
https://www.gocomics.com/calvinandhobbes/1986/03/23,153,19,22
https://www.gocomics.com/calvinandhobbes/1986/03/24,37,17,8
https://www.gocomics.com/calvinandhobbes/1986/03/25,52,14,14
